entry_id,raw_url,normalized_url,final_url,source_files,discovery_count,context_hint,source_name,source_tier,source_type,candidate_id,candidate_confidence,candidate_match_method,title,published_at,validation_status,public_status,status_reason,http_status,reachable,discovery_method,processed_at
manual-3f137281,https://360radio.com.co/mauricio-lizcano-revela-detalles-de-sus-propuestas-para-elecciones-2026/188188,https://360radio.com.co/mauricio-lizcano-revela-detalles-de-sus-propuestas-para-elecciones-2026/188188,https://360radio.com.co/mauricio-lizcano-revela-detalles-de-sus-propuestas-para-elecciones-2026/188188/,data/added_manually/chatgpt_pro.md,1,https://360radio.com.co/mauricio-lizcano-revela-detalles-de-sus-propuestas-para-elecciones-2026/188188/,360radio Com Co,established-media,article,mauricio-lizcano,0.99,alias_score,Mauricio Lizcano revela detalles de sus propuestas para elecciones 2026 | 360,2025-07-10T00:00:00Z,reachable,promoted,validated_by_http|alias_score,200,TRUE,manual_added_file,2026-05-31T10:00:10Z
manual-4895df7e,https://360radio.com.co/vea-aqui-las-propuestas-de-sergio-fajardo-para-presidente-2026/196076,https://360radio.com.co/vea-aqui-las-propuestas-de-sergio-fajardo-para-presidente-2026/196076,https://360radio.com.co/vea-aqui-las-propuestas-de-sergio-fajardo-para-presidente-2026/196076/,data/added_manually/chatgpt_pro.md,1,https://360radio.com.co/vea-aqui-las-propuestas-de-sergio-fajardo-para-presidente-2026/196076/,360radio Com Co,established-media,article,sergio-fajardo,0.99,alias_score,Vea aquí las propuestas de Sergio Fajardo para presidente 2026 | 360,2025-10-07T00:00:00Z,reachable,promoted,validated_by_http|alias_score,200,TRUE,manual_added_file,2026-05-31T10:00:11Z
manual-21c198da,https://canal1.com.co/noticias/politica/propuestas-de-paloma-valencia,https://canal1.com.co/noticias/politica/propuestas-de-paloma-valencia,https://canal1.com.co/noticias/politica/propuestas-de-paloma-valencia/,data/added_manually/chatgpt_pro.md,1,https://canal1.com.co/noticias/politica/propuestas-de-paloma-valencia/,Canal1 Com Co,established-media,article,paloma-valencia,0.99,alias_score,Mano firme contra la criminalidad: las propuestas de Paloma Valencia - Canal 1,2026-03-07T00:00:00Z,reachable,promoted,validated_by_http|alias_score,200,TRUE,manual_added_file,2026-05-31T10:00:16Z
manual-21c82915,https://caracol.com.co/2026/03/25/asi-es-el-plan-de-abelardo-de-la-espriella-para-recuperar-el-control-territorial-en-90-dias,https://caracol.com.co/2026/03/25/asi-es-el-plan-de-abelardo-de-la-espriella-para-recuperar-el-control-territorial-en-90-dias,https://caracol.com.co/2026/03/25/asi-es-el-plan-de-abelardo-de-la-espriella-para-recuperar-el-control-territorial-en-90-dias/,data/added_manually/chatgpt_pro.md,1,https://caracol.com.co/2026/03/25/asi-es-el-plan-de-abelardo-de-la-espriella-para-recuperar-el-control-territorial-en-90-dias/,Caracol Com Co,established-media,article,abelardo-de-la-espriella,0.99,alias_score,Así es el plan de Abelardo de la Espriella para recuperar el control territorial en 90 días | Política | Caracol Radio,2026-03-25T00:00:00Z,reachable,promoted,validated_by_http|alias_score,200,TRUE,manual_added_file,2026-05-31T10:00:19Z
manual-2df95543,https://diariolalibertad.com/sitio/2026/04/06/tres-millones-de-firmas-respaldaran-la-aspiracion-presidencial-de-carlos-caicedo,https://diariolalibertad.com/sitio/2026/04/06/tres-millones-de-firmas-respaldaran-la-aspiracion-presidencial-de-carlos-caicedo,https://diariolalibertad.com/2026/04/06/tres-millones-de-firmas-respaldaran-la-aspiracion-presidencial-de-carlos-caicedo/,data/added_manually/chatgpt_pro.md,1,https://diariolalibertad.com/sitio/2026/04/06/tres-millones-de-firmas-respaldaran-la-aspiracion-presidencial-de-carlos-caicedo/,Diariolalibertad Com,official,official-page,carlos-caicedo,0.99,alias_score,Tres millones de firmas respaldarán la aspiración presidencial de Carlos Caicedo - Diario La Libertad.,2026-04-06T00:00:00Z,reachable,promoted,validated_by_http|alias_score,200,TRUE,manual_added_file,2026-05-31T10:00:30Z
manual-51298b3e,https://www.elcolombiano.com/colombia/elecciones-2026-miguel-uribe-londono-entrevista-EF34759962,https://elcolombiano.com/colombia/elecciones-2026-miguel-uribe-londono-entrevista-EF34759962,https://www.elcolombiano.com/colombia/elecciones-2026-miguel-uribe-londono-entrevista-EF34759962,data/added_manually/chatgpt_pro.md,1,https://www.elcolombiano.com/colombia/elecciones-2026-miguel-uribe-londono-entrevista-EF34759962,Elcolombiano Com,established-media,topic-page,miguel-uribe,0.99,alias_score,Elecciones 2026 Miguel Uribe Londono Entrevista EF34759962,NA,reachable,pending_classification,validated_by_http|alias_score,301,TRUE,manual_added_file,2026-05-31T10:00:36Z
manual-30548c04,https://www.elespectador.com/politica/elecciones-colombia-2026/gustavo-matamoros-quien-es-el-general-que-quiere-ser-presidente-de-colombia-perfil-y-trayectoria-del-candidato-noticas-hoy,https://elespectador.com/politica/elecciones-colombia-2026/gustavo-matamoros-quien-es-el-general-que-quiere-ser-presidente-de-colombia-perfil-y-trayectoria-del-candidato-noticas-hoy,https://www.elespectador.com/politica/elecciones-colombia-2026/gustavo-matamoros-quien-es-el-general-que-quiere-ser-presidente-de-colombia-perfil-y-trayectoria-del-candidato-noticas-hoy/,data/added_manually/chatgpt_pro.md,1,https://www.elespectador.com/politica/elecciones-colombia-2026/gustavo-matamoros-quien-es-el-general-que-quiere-ser-presidente-de-colombia-perfil-y-trayectoria-del-candidato-noticas-hoy/,Elespectador Com,established-media,topic-page,gustavo-matamoros,0.99,alias_score,Gustavo Matamoros quién es el general que quiere ser presidente de Colombia perfil y trayectoria del candidato | Noticas Hoy | EL ESPECTADOR,2026-04-16T00:00:00Z,reachable,promoted,validated_by_http|alias_score,200,TRUE,manual_added_file,2026-05-31T10:00:40Z
manual-40921854,https://www.elespectador.com/politica/elecciones-colombia-2026/luis-gilberto-murillo-busca-la-presidencia-quien-es-cargos-hoja-de-vida-por-que-renuncio-a-cancilleria-noticias-hoy,https://elespectador.com/politica/elecciones-colombia-2026/luis-gilberto-murillo-busca-la-presidencia-quien-es-cargos-hoja-de-vida-por-que-renuncio-a-cancilleria-noticias-hoy,https://www.elespectador.com/politica/elecciones-colombia-2026/luis-gilberto-murillo-busca-la-presidencia-quien-es-cargos-hoja-de-vida-por-que-renuncio-a-cancilleria-noticias-hoy/,data/added_manually/chatgpt_pro.md,1,https://www.elespectador.com/politica/elecciones-colombia-2026/luis-gilberto-murillo-busca-la-presidencia-quien-es-cargos-hoja-de-vida-por-que-renuncio-a-cancilleria-noticias-hoy/,Elespectador Com,established-media,topic-page,luis-gilberto-murillo,0.99,alias_score,"Luis Gilberto Murillo busca la Presidencia: quién es, cargos, hoja de vida, por qué renunció a Cancillería | Noticias hoy | EL ESPECTADOR",2026-04-19T00:00:00Z,reachable,promoted,validated_by_http|alias_score,200,TRUE,manual_added_file,2026-05-31T10:00:41Z
manual-20013e75,https://www.elespectador.com/politica/elecciones-colombia-2026/quien-es-carlos-caicedo-su-trayectoria-como-alcalde-rector-su-partido-y-mas-de-su-hoja-de-vida,https://elespectador.com/politica/elecciones-colombia-2026/quien-es-carlos-caicedo-su-trayectoria-como-alcalde-rector-su-partido-y-mas-de-su-hoja-de-vida,https://www.elespectador.com/politica/elecciones-colombia-2026/quien-es-carlos-caicedo-su-trayectoria-como-alcalde-rector-su-partido-y-mas-de-su-hoja-de-vida/,data/added_manually/chatgpt_pro.md,1,https://www.elespectador.com/politica/elecciones-colombia-2026/quien-es-carlos-caicedo-su-trayectoria-como-alcalde-rector-su-partido-y-mas-de-su-hoja-de-vida/,Elespectador Com,established-media,topic-page,carlos-caicedo,0.99,alias_score,"¿Quién es Carlos Caicedo? Su trayectoria como alcalde, rector, su partido y más de su hoja de vida",2026-04-15T00:00:00Z,reachable,promoted,validated_by_http|alias_score,200,TRUE,manual_added_file,2026-05-31T10:00:41Z
manual-5d53f18f,https://www.elespectador.com/politica/elecciones-colombia-2026/quien-es-mauricio-lizcano-estos-son-los-giros-de-la-vida-y-la-politica-detras-de-su-candidatura-presidencial,https://elespectador.com/politica/elecciones-colombia-2026/quien-es-mauricio-lizcano-estos-son-los-giros-de-la-vida-y-la-politica-detras-de-su-candidatura-presidencial,https://www.elespectador.com/politica/elecciones-colombia-2026/quien-es-mauricio-lizcano-estos-son-los-giros-de-la-vida-y-la-politica-detras-de-su-candidatura-presidencial/,data/added_manually/chatgpt_pro.md,1,https://www.elespectador.com/politica/elecciones-colombia-2026/quien-es-mauricio-lizcano-estos-son-los-giros-de-la-vida-y-la-politica-detras-de-su-candidatura-presidencial/,Elespectador Com,established-media,topic-page,mauricio-lizcano,0.99,alias_score,Quién es Mauricio Lizcano: estos son los giros de la vida y la política detrás de su candidatura presidencial,2026-04-13T00:00:00Z,reachable,promoted,validated_by_http|alias_score,200,TRUE,manual_added_file,2026-05-31T10:00:41Z
